icao24,registration,aircraft_manufacturer,aircraft_model,aircraft_category,engine_manufacturer,engine_model,engine_count
7810c5,B-3246,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4406a3,OE-IEO,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4d20ec,9H-VJM,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4242e4,VP-BVM,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
491d83,CS-GLC,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4d2155,9H-VTD,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
424773,VP-CEW,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
a2ec05,N288DG,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4241e8,VP-CZL,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4d215f,9H-LDN,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
491d86,CS-GLF,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4d210b,9H-VJY,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
adf2b0,N998ZX,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
ac6c2c,N9TJ,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4d207f,9H-VJD,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
5000f1,T7-RSP,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4d20aa,9H-IGH,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4d20d8,9H-VJK,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
800b7e,VT-AHI,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
43e99a,M-DADA,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4d211a,9H-VJR,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4d2132,9H-VJW,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4d208a,9H-VJF,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
4243f9,VQ-BCC,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
43e8f1,M-IGWT,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
43eae0,M-LWSG,Bombardier,Bombardier Global 6000,Large,Rolls-Royce,BR710A2-20,2
3cd064,D-CGFK,Bombardier,Bombardier Learjet 31 A,Small,Honeywell,TFE731,2
3cd94d,D-CJPD,Bombardier,Bombardier Learjet 31 A,Small,Honeywell,TFE731,2
3cdc7c,D-CKUM,Bombardier,Bombardier Learjet 31 A,Small,Honeywell,TFE731,2
3cd066,D-CGFM,Bombardier,Bombardier Learjet 31 A,Small,Honeywell,TFE731,2
39bc81,F-HPEB,Bombardier,Bombardier Learjet 40 XR,Small,Honeywell,TFE731,2
44095b,OE-GIQ,Bombardier,Bombardier Learjet 45,Small,Honeywell,TFE731,2
43ea42,M-CSMS,Bombardier,Bombardier Learjet 45,Small,Honeywell,TFE731,2
4d205b,9H-BCP,Bombardier,Bombardier Learjet 45,Small,Honeywell,TFE731,2
4d0295,LX-LAR,Bombardier,Bombardier Learjet 45,Small,Honeywell,TFE731,2
3ce186,D-CMSC,Bombardier,Bombardier Learjet 45,Small,Honeywell,TFE731,2
516025,4O-SEV,Bombardier,Bombardier Learjet 45,Small,Honeywell,TFE731,2
30030a,I-FORU,Bombardier,Bombardier Learjet 45,Small,Honeywell,TFE731,2
4d028e,LX-ONE,Bombardier,Bombardier Learjet 45 XR,Small,Honeywell,TFE731,2
4ac9af,SE-RMO,Bombardier,Bombardier Learjet 45 XR,Small,Honeywell,TFE731,2
3cd684,D-CINS,Bombardier,Bombardier Learjet 45 XR,Small,Honeywell,TFE731,2
4d0294,LX-LAA,Bombardier,Bombardier Learjet 45 XR,Small,Honeywell,TFE731,2
3ccd3a,D-CFAG,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
3ccd39,D-CFAF,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
342412,EC-JVM,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
451c6c,LZ-BVV,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
3cf0b9,D-CSLT,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
3ccd41,D-CFAN,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
440711,OE-GSV,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
3ce460,D-CNUE,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
51100f,ES-PVS,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
3ce63e,D-COMO,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
3ccd4d,D-CFAZ,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
42476d,VP-CCD,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
51104b,ES-PVI,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
3cf06f,D-CSIX,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
3ce8e8,D-CPMU,Bombardier,Bombardier Learjet 60,Small,Honeywell,TFE731,2
3cdf2d,D-CLUZ,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
440925,OE-GLJ,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
5000b4,T7-ISH,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
488dcc,SP-DOM,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
300528,I-GSIN,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
49d066,OK-JDM,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
43e80c,M-IGHT,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
4bb4ae,TC-MEN,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
43e9f1,M-ELHI,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
451c78,LZ-BVE,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
3cd7c9,D-CJAF,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
51106e,ES-LVA,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
43e9c4,M-URAL,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
4b84ab,TC-AEK,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
502cde,YL-BJA,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
43e7f7,M-MHAC,Bombardier,Bombardier Learjet 60 XR,Small,Honeywell,TFE731,2
aa1ec3,N751LJ,Bombardier,Bombardier Learjet 75,Small,Honeywell,TFE731,2
488014,SP-AAW,Bombardier,Bombardier Learjet 75,Small,Honeywell,TFE731,2
440794,OE-GEC,Bombardier,Bombardier Learjet 75,Small,Honeywell,TFE731,2
4066bb,G-LTSK,Bombardier,CANADAIR CL600-2B16 (604 VARIANT) Challenger 605,Large,GE Aviation,CF34-3B,2
43e8e6,M-TRBS,Bombardier,CL-600 Challenger 650,Large,GE Aviation,CF34-3B,2
440918,OE-IIX,Bombardier,CL-600-2B16 Challenger 605,Large,GE Aviation,CF34-3B,2
a8150c,N62MW,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d05eb,XA-CHC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a23c9e,N243RC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a524b8,N430SK,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a7c678,N60SB,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d07a6,XA-RUA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a7dfa8,N606XT,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
e024d3,LV-BSS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ad7d9b,N969AF,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4d029f,LX-AVT,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a58959,N456KT,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4b182e,HB-JEC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
3c848f,D-BADO,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a31091,N297MC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4b8642,TC-ARB,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a48316,N390DB,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
e48aed,PR-ADB,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ad11b7,N941JR,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a71299,N555GE,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a36562,N318JS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d0e61,XA-BOM,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a07324,N128TS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
adda5f,N992DC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
150698,RA-67224,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a98f6c,N715JD,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a18305,N197JS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
3c942d,D-BEAM,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a48874,N391W,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ab43b2,N825CT,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
8007c7,VT-APF,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a32ac1,N303CZ,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a66175,N510AF,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a46706,N383GA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a3a512,N334EC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
48d635,SP-ZSZ,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
e48ba5,PR-FMW,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a952c3,N70FS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d06e0,XA-NTG,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a417ae,N363CL,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
150691,RA-67217,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
aaa754,N786FG,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4ac9a1,SE-RMA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ad81a1,N97DK,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4405b2,OE-HDU,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d0753,XA-OVA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d0515,XA-DLA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ac072a,N874WD,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a5e8b3,N480BA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
1506b2,RA-67250,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
490d0a,CS-CHJ,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a68923,N520CC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
780807,B-8192,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
3c2d57,D-BUBI,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
440465,OE-HCA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
78081d,B-8233,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a50a8b,N424AR,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ac7137,N900WY,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
8005d4,VT-PIL,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
7580ee,RP-C8215,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
8004c3,VT-JSE,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4ac9a3,SE-RMC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a372b3,N321GX,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a78158,N583D,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4407d6,OE-HDC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a5a566,N463GR,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
008058,ZS-ACT,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a31ff6,N300GP,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ac0cf2,N876DG,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a40405,N358RJ,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a9afc7,N723MC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a67d7c,N517WZ,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ad67b2,N963EC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4405aa,OE-HPG,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
e49196,PP-MQS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a7e9b9,N609LS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a32453,N301PE,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
aae603,N801EL,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0ac379,HK-5186,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a92c2f,N690RB,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a944bf,N697AH,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d07f1,XA-VFV,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
abcf1a,N860CS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a09923,N138CH,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a845bc,N632FW,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a54957,N44M,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4bce0c,TC-SPL,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
abd82e,N862VP,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
e4869c,PP-BIC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
424152,VP-CDV,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d0915,XA-GXG,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4a5243,YR-TRC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a31fc9,N300EU,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a2e4ac,N286EC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a32c7c,N303WS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
43e856,M-OZZA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a27cf4,N26DE,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a31fdc,N300FN,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
43e8b3,M-EVAN,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a7850f,N584D,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
3c9570,D-BEKP,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
020106,CN-CTA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a43832,N371HA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
adbe40,N985FM,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
e48e6b,PR-RBZ,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d06d5,XA-ARO,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
7501f2,9M-TST,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a6cfc0,N538SL,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
150695,RA-67221,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
adc5e2,N987HP,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
3c85ce,D-BANN,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a7897a,N585LE,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a03fc6,N115LF,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a65945,N508SN,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a7d798,N604RF,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a97e68,N7100C,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
43e7ee,M-CLAB,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
780859,B-8116,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ad47e9,N955H,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
adf542,N999ND,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
e48c82,PT-STU,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
aae037,N80HD,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a39d76,N332CG,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a0586f,N121LM,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ab58c1,N830EC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a32081,N300NC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
adabef,N980JC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
780808,B-8193,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a74cc0,N57HA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
43e84e,M-MTOO,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
e073cb,LV-GOK,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ad82e4,N97SH,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d071c,XA-EZI,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
780858,B-8115,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a12c19,N175DP,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
a3f944,N355VJ,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
490d07,CS-CHG,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d20e6,9H-VCD,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d20ea,9H-VCH,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
e08054,LV-HAT,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d20d9,9H-VCC,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
490d03,CS-CHC,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d2102,9H-VCJ,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
c06bfa,C-GOXD,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
1506ab,RA-67243,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
e49111,PT-PTR,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
47b007,LN-STB,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d20e9,9H-VCG,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
c06bf8,C-GOXB,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d2134,9H-VCN,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
a0902d,N1350S,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4408d8,OE-HGG,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
ada5f8,N979KC,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
a3ee1f,N352VJ,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d20e8,9H-VCF,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
490d05,CS-CHE,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
490d02,CS-CHB,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
00865d,ZS-CKA,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d2119,9H-VCK,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d20d1,9H-VCA,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
490d01,CS-CHA,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
48a4e8,SP-KHI,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d2127,9H-VCL,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
490d06,CS-CHF,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
c06c14,C-GOYD,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
ade56a,N995CB,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
e49194,PR-HNG,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d2133,9H-VCM,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
a3f58d,N354VJ,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
a41ef3,N365AV,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
43ea72,M-OCNY,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
c06bfd,C-GOXG,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
a98ed9,N715CG,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
c06bed,C-GOWQ,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d20cf,9H-VCB,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
a40359,N358JM,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
4d20e7,9H-VCE,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
490d04,CS-CHD,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
c06c1f,C-GOYO,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
a3f1d6,N353VJ,Bombardier,Challenger 350,Large,Honeywell,HTF7350,2
a0c9b4,N15VC,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
780814,B-7796,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a317da,N299KR,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a1e00c,N22QF,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
43e95b,M-AYRU,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
50006e,T7-YES,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
e07588,LV-GVH,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a7db28,N605PS,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a7da6e,N605GF,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
aa4093,N76QF,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a6f975,N549BA,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a220bf,N236WA,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
43e8da,M-ASHI,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a85265,N635XJ,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a7dbcc,N605WF,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
44098b,OE-IXI,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a7daab,N605JS,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
5000e4,T7-AOO,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
43e7be,M-NHOI,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
ad8286,N97NP,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
06a085,A7-CEA,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
abbab6,N855JC,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a4ad16,N400ES,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a34f04,N312HX,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a11d21,N171CL,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a7dab5,N605KB,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
4b1982,HB-JRE,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
0d05f2,XA-GRB,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a7986e,N589MD,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
4408ed,OE-IMM,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a674f4,N515KS,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
06a086,A7-CEB,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
4408c4,OE-IKZ,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a6aab4,N529DM,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
4241b3,VP-CLJ,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
ac6362,N898DL,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
710258,HZ-ATG,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a8dbdf,N670BP,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a55d51,N445BH,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
8961ca,A6-AAG,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
780910,B-7799,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a8b422,N66ZC,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a6b200,N530SC,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
43ea01,M-MSGG,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a7da75,N605GN,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
4bad85,TC-KLE,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
44096b,OE-IOS,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a7c84a,N600LS,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
ac177c,N87878,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
894064,A9C-ACE,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a67f7d,N518DL,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
43e7bb,M-TOPI,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a52229,N43QF,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
424243,VP-BGO,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a7c699,N60TK,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
ac1e8e,N880HK,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a92285,N688SF,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
3c1160,D-AVPB,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
780095,B-7763,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a74327,N567YX,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
a6df74,N542BA,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
acf63d,N934TQ,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
4d213a,9H-MYU,Bombardier,Challenger 605,Large,GE Aviation,CF34-3B,2
